x,P_total_coherent,P_dephased_baseline
-30.0,2.609798770398209e-06,4.975566055052732e-06
-29.764705882352942,2.5611633315028303e-06,3.8238905579124445e-06
-29.529411764705884,3.6267430121756222e-06,3.4245133538980303e-06
-29.294117647058822,5.868964088045074e-06,3.755600441851847e-06
-29.058823529411764,9.822759981941394e-06,4.874072059938016e-06
-28.823529411764707,1.5165265730628646e-05,6.543328198039175e-06
-28.58823529411765,2.2609845876290866e-05,9.040467470393404e-06
-28.352941176470587,3.138709927039953e-05,1.1971738714256538e-05
-28.11764705882353,4.147400937376849e-05,1.5451812033359017e-05
-27.88235294117647,5.1627600817479046e-05,1.9051585846948367e-05
-27.647058823529413,6.0129878559127216e-05,2.230741253284658e-05
-27.41176470588235,6.626869807106051e-05,2.513190451345619e-05
-27.176470588235293,6.810104132140286e-05,2.6841268328009042e-05
-26.941176470588236,6.827677827039104e-05,2.8366912177428422e-05
-26.705882352941178,6.802317686067854e-05,2.993404042418368e-05
-26.470588235294116,7.253060636423664e-05,3.319961973467865e-05
-26.235294117647058,8.153913662463631e-05,3.838637584009939e-05
-26.0,9.363124063439134e-05,4.551348503879033e-05
-25.764705882352942,0.0001014281852733753,5.277523577870306e-05
-25.529411764705884,0.00010346085747245432,5.9406307096527834e-05
-25.294117647058822,0.0001022569884765409,6.560083560356745e-05
-25.058823529411764,0.00010519744614959463,7.317705372657635e-05
-24.823529411764707,0.00011135469744565592,8.326368215610713e-05
-24.588235294117645,0.00011420251757131336,9.483993550140647e-05
-24.352941176470587,0.00011092796618385721,0.00010660181002235791
-24.11764705882353,0.0001093652232958337,0.0001188927629433009
-23.88235294117647,0.00011135194342716183,0.00013365700657502468
-23.647058823529413,0.00010881997445469624,0.00015053215509141328
-23.411764705882355,0.00010200470372129668,0.00016849904721708692
-23.176470588235293,0.00010208939836552568,0.0001881465198513226
-22.941176470588236,0.00010273642818644011,0.00021094493590036577
-22.705882352941178,9.494070115839536e-05,0.00023548736857945314
-22.470588235294116,9.59900546073738e-05,0.0002622300309694264
-22.235294117647058,0.0001035221949250407,0.000292832114950829
-22.0,0.00010174983929998278,0.00032605346946160433
-21.764705882352942,0.00011004491635228627,0.0003616550650102743
-21.529411764705884,0.00013267871581491578,0.0004030160293064538
-21.294117647058826,0.0001381542519760877,0.0004464074306227951
-21.058823529411764,0.00017331976990248601,0.0004944230540181136
-20.823529411764707,0.00020472050172209587,0.0005487423615145158
-20.588235294117645,0.00023774200484860843,0.0006050038451050667
-20.352941176470587,0.00030036669557306447,0.0006699572839492608
-20.11764705882353,0.00034435191348857684,0.0007382806317566327
-19.88235294117647,0.00042372342756316574,0.0008139507771952212
-19.647058823529413,0.0004930823712429664,0.0008966378175724264
-19.411764705882355,0.0005805480535625226,0.00098525912322097
-19.176470588235293,0.0006752376223907335,0.0010834077237891907
-18.941176470588236,0.000769665787297023,0.001187961276309425
-18.705882352941178,0.0008801106484559292,0.0013029705048429663
-18.470588235294116,0.0009796465508492406,0.0014261676567003687
-18.235294117647058,0.001093208347330846,0.001560166377833092
-18.0,0.0011911619559928993,0.0017044486343870653
-17.764705882352942,0.0012944421313076295,0.0018600618245529393
-17.529411764705884,0.0013797033400182836,0.002027876636889024
